job_id,industry_name,inferred,type
3690843087,Accounting,0,Medical insurance
3690843087,Accounting,0,Dental insurance
3690843087,Accounting,0,401(k)
3690843087,Accounting,0,Paid maternity leave
3690843087,Accounting,0,Disability insurance
3690843087,Accounting,0,Vision insurance
3691763971,,1,Dental insurance
3691763971,,1,Disability insurance
3691763971,,1,401(k)
3691775263,"Appliances, Electrical, and Electronics Manufacturing",0,Medical insurance
3691775263,"Appliances, Electrical, and Electronics Manufacturing",0,Vision insurance
3691775263,"Appliances, Electrical, and Electronics Manufacturing",0,Dental insurance
3691775263,"Appliances, Electrical, and Electronics Manufacturing",0,401(k)
3691775263,"Appliances, Electrical, and Electronics Manufacturing",0,Tuition assistance
3691775263,"Appliances, Electrical, and Electronics Manufacturing",0,Disability insurance
3691792844,"Transportation, Logistics, Supply Chain and Storage",0,Medical insurance
3691792844,"Transportation, Logistics, Supply Chain and Storage",0,401(k)
3691792844,"Transportation, Logistics, Supply Chain and Storage",0,Pension plan
3691792844,"Transportation, Logistics, Supply Chain and Storage",0,Dental insurance
3691793575,Medical Practices,1,Medical insurance
3691794313,Freight and Package Transportation,1,Vision insurance
3691794313,Freight and Package Transportation,1,401(k)
3691794313,Freight and Package Transportation,1,Dental insurance
3691794313,Freight and Package Transportation,1,Medical insurance
3691795389,Freight and Package Transportation,1,Vision insurance
3691795389,Freight and Package Transportation,1,401(k)
3691796226,Architecture and Planning,0,Medical insurance
3691796226,Architecture and Planning,0,Vision insurance
3691796226,Architecture and Planning,0,Dental insurance
3691796226,Architecture and Planning,0,401(k)
3691797979,Research Services,1,Medical insurance
3691799471,Manufacturing,1,401(k)
3691799471,Personal Care Product Manufacturing,1,401(k)
3691799471,Manufacturing,1,Medical insurance
3691799471,Personal Care Product Manufacturing,1,Medical insurance
3691799471,Manufacturing,1,Disability insurance
3691799471,Personal Care Product Manufacturing,1,Disability insurance
3691799472,Higher Education,0,Medical insurance
3691799472,Higher Education,0,Vision insurance
3691799472,Higher Education,0,Dental insurance
3691799472,Higher Education,0,401(k)
3691799472,Higher Education,0,Paid maternity leave
3691799472,Higher Education,0,Paid paternity leave
3691799472,Higher Education,0,Tuition assistance
