job_id,industry_name
3378133231,Higher Education
3497509795,IT Services and IT Consulting
3690843087,Accounting
3691775263,"Appliances, Electrical, and Electronics Manufacturing"
3691779379,Advertising Services
3691786992,Hospitals and Health Care
3691789797,IT Services and IT Consulting
3691792844,"Transportation, Logistics, Supply Chain and Storage"
3691793575,Medical Practices
3691794313,Freight and Package Transportation
3691795305,Mental Health Care
3691795389,Freight and Package Transportation
3691795980,IT Services and IT Consulting
3691796226,Architecture and Planning
3691797249,Recreational Facilities
3691797924,"Technology, Information and Internet"
3691797973,Pharmaceutical Manufacturing
3691797979,Research Services
3691797980,Civil Engineering
3691797982,Business Consulting and Services
3691797982,Staffing and Recruiting
3691798875,Business Consulting and Services
3691798875,Venture Capital and Private Equity Principals
3691798875,IT Services and IT Consulting
3691798879,Mental Health Care
3691799048,Education Administration Programs
3691799449,"Appliances, Electrical, and Electronics Manufacturing"
3691799459,IT Services and IT Consulting
3691799471,Manufacturing
3691799471,Personal Care Product Manufacturing
3691799472,Higher Education
3691799474,Real Estate
3692300220,Oil and Gas
3692300361,Real Estate
3692300372,Financial Services
3692300372,Real Estate
3692300409,"Transportation, Logistics, Supply Chain and Storage"
3692300409,Non-profit Organizations
3692301009,Consumer Services
3692301162,IT Services and IT Consulting
3692301162,Hospitals and Health Care
3692301162,Software Development
3692301165,Retail
3692301169,Real Estate
3692301169,Legal Services
3692301171,IT Services and IT Consulting
3692301171,Telecommunications
3692302089,IT Services and IT Consulting
3692302091,Real Estate
3692303023,IT Services and IT Consulting
3692303024,Hospitals and Health Care
3692303025,Oil and Gas
3696352735,Hospitals and Health Care
3696352735,Wellness and Fitness Services
3696352735,Insurance
3696355954,Staffing and Recruiting
3696362362,Food and Beverage Services
3696368461,International Trade and Development
3696369309,International Trade and Development
3696371262,International Trade and Development
3696372105,International Trade and Development
3696373506,Real Estate
3696374362,Design Services
3696374362,Architecture and Planning
3696375254,Mental Health Care
3696386986,Hospitals and Health Care
3696386986,Wellness and Fitness Services
3696386986,Insurance
3696387979,Hospitals and Health Care
3696387979,Wellness and Fitness Services
3696387979,Insurance
3696387993,Hospitals and Health Care
3696387993,Wellness and Fitness Services
3696387993,Insurance
3696388859,Hospitals and Health Care
3696388859,Wellness and Fitness Services
3696388859,Insurance
3696388875,Hospitals and Health Care
3696388875,Wellness and Fitness Services
3696388875,Insurance
3696390474,Hospitals and Health Care
3696390474,Wellness and Fitness Services
3696390474,Insurance
3696391387,Hospitals and Health Care
3696391387,Wellness and Fitness Services
3696391387,Insurance
3696391398,Hospitals and Health Care
