job_id,skill_name,industry_name
3690843087,Accounting/Auditing,Accounting
3690843087,Finance,Accounting
3691763971,Management,
3691763971,Manufacturing,
3691775263,Management,"Appliances, Electrical, and Electronics Manufacturing"
3691775263,Manufacturing,"Appliances, Electrical, and Electronics Manufacturing"
3691786992,Health Care Provider,Hospitals and Health Care
3691789797,Management,IT Services and IT Consulting
3691789797,Manufacturing,IT Services and IT Consulting
3691789919,Health Care Provider,
3691792844,Engineering,"Transportation, Logistics, Supply Chain and Storage"
3691792844,Information Technology,"Transportation, Logistics, Supply Chain and Storage"
3691793575,Administrative,Medical Practices
3691794313,Administrative,Freight and Package Transportation
3691795305,Health Care Provider,Mental Health Care
3691795389,Sales,Freight and Package Transportation
3691795980,Information Technology,IT Services and IT Consulting
3691796226,Design,Architecture and Planning
3691796226,Art/Creative,Architecture and Planning
3691796226,Information Technology,Architecture and Planning
3691797249,Education,Recreational Facilities
3691797249,Training,Recreational Facilities
3691797924,Engineering,"Technology, Information and Internet"
3691797924,Information Technology,"Technology, Information and Internet"
3691797973,Sales,Pharmaceutical Manufacturing
3691797973,Business Development,Pharmaceutical Manufacturing
3691797979,Engineering,Research Services
3691797979,Information Technology,Research Services
3691797980,Project Management,Civil Engineering
3691797982,Business Development,Business Consulting and Services
3691797982,Business Development,Staffing and Recruiting
3691797982,Consulting,Business Consulting and Services
3691797982,Consulting,Staffing and Recruiting
3691797982,Sales,Business Consulting and Services
3691797982,Sales,Staffing and Recruiting
3691798875,Sales,Business Consulting and Services
3691798875,Sales,Venture Capital and Private Equity Principals
3691798875,Sales,IT Services and IT Consulting
3691798875,Management,Business Consulting and Services
3691798875,Management,Venture Capital and Private Equity Principals
3691798875,Management,IT Services and IT Consulting
3691798875,Strategy/Planning,Business Consulting and Services
3691798875,Strategy/Planning,Venture Capital and Private Equity Principals
3691798875,Strategy/Planning,IT Services and IT Consulting
3691798879,Health Care Provider,Mental Health Care
3691799449,Management,"Appliances, Electrical, and Electronics Manufacturing"
3691799449,Manufacturing,"Appliances, Electrical, and Electronics Manufacturing"
3691799471,Other,Manufacturing
3691799471,Other,Personal Care Product Manufacturing
3691799471,Research,Manufacturing
3691799471,Research,Personal Care Product Manufacturing
3691799472,Other,Higher Education
3691799474,Management,Real Estate
3691799474,General Business,Real Estate
3691799474,Administrative,Real Estate
3692300220,Management,Oil and Gas
3692300220,Manufacturing,Oil and Gas
3692300361,Marketing,Real Estate
3692300361,Sales,Real Estate
3692300361,Accounting/Auditing,Real Estate
3692300372,Strategy/Planning,Financial Services
3692300372,Strategy/Planning,Real Estate
3692300372,Management,Financial Services
3692300372,Management,Real Estate
3692300409,Marketing,"Transportation, Logistics, Supply Chain and Storage"
3692300409,Marketing,Non-profit Organizations
3692301009,Administrative,Consumer Services
3692301162,Project Management,IT Services and IT Consulting
3692301162,Project Management,Hospitals and Health Care
3692301162,Project Management,Software Development
3692301162,Information Technology,IT Services and IT Consulting
3692301162,Information Technology,Hospitals and Health Care
3692301162,Information Technology,Software Development
3692301162,Consulting,IT Services and IT Consulting
3692301162,Consulting,Hospitals and Health Care
3692301162,Consulting,Software Development
3692301165,Management,Retail
3692301165,Manufacturing,Retail
3692301169,Legal,Real Estate
3692301169,Legal,Legal Services
3692301169,Administrative,Real Estate
3692301169,Administrative,Legal Services
3692301171,Administrative,IT Services and IT Consulting
3692301171,Administrative,Telecommunications
3692301171,Project Management,IT Services and IT Consulting
3692301171,Project Management,Telecommunications
3692301171,Business Development,IT Services and IT Consulting
3692301171,Business Development,Telecommunications
3692302089,Information Technology,IT Services and IT Consulting
3692303023,Information Technology,IT Services and IT Consulting
3692303024,Health Care Provider,Hospitals and Health Care
3692303025,Management,Oil and Gas
3692303025,Manufacturing,Oil and Gas
3696352735,Other,Hospitals and Health Care
3696352735,Other,Wellness and Fitness Services
3696352735,Other,Insurance
3696355954,Accounting/Auditing,Staffing and Recruiting
3696355954,Finance,Staffing and Recruiting
3696362362,Engineering,Food and Beverage Services
3696362362,Information Technology,Food and Beverage Services
3696368461,Project Management,International Trade and Development
3696368461,Sales,International Trade and Development
3696368461,Customer Service,International Trade and Development
3696369309,Quality Assurance,International Trade and Development
3696369309,Production,International Trade and Development
3696369309,Other,International Trade and Development
3696371262,Production,International Trade and Development
3696371262,Other,International Trade and Development
3696371262,Manufacturing,International Trade and Development
3696372105,Project Management,International Trade and Development
3696372105,Sales,International Trade and Development
3696372105,Customer Service,International Trade and Development
3696373506,Accounting/Auditing,Real Estate
3696373506,Finance,Real Estate
3696374362,Accounting/Auditing,Design Services
3696374362,Accounting/Auditing,Architecture and Planning
3696374362,Finance,Design Services
3696374362,Finance,Architecture and Planning
3696375254,Health Care Provider,Mental Health Care
3696386986,Other,Hospitals and Health Care
3696386986,Other,Wellness and Fitness Services
3696386986,Other,Insurance
3696387979,Other,Hospitals and Health Care
3696387979,Other,Wellness and Fitness Services
3696387979,Other,Insurance
3696387993,Other,Hospitals and Health Care
3696387993,Other,Wellness and Fitness Services
3696387993,Other,Insurance
3696388859,Other,Hospitals and Health Care
3696388859,Other,Wellness and Fitness Services
3696388859,Other,Insurance
3696388875,Other,Hospitals and Health Care
3696388875,Other,Wellness and Fitness Services
3696388875,Other,Insurance
3696390474,Other,Hospitals and Health Care
3696390474,Other,Wellness and Fitness Services
3696390474,Other,Insurance
3696391387,Other,Hospitals and Health Care
3696391387,Other,Wellness and Fitness Services
3696391387,Other,Insurance
3696391398,Other,Hospitals and Health Care
3696391398,Other,Wellness and Fitness Services
3696391398,Other,Insurance
3696391403,Other,Hospitals and Health Care
3696391403,Other,Wellness and Fitness Services
3696391403,Other,Insurance
3696393067,Other,Hospitals and Health Care
3696393067,Other,Wellness and Fitness Services
3696393067,Other,Insurance
3696394296,Other,Construction
3696394452,Information Technology,Staffing and Recruiting
3696394454,Engineering,Defense and Space Manufacturing
3696394454,Engineering,"Appliances, Electrical, and Electronics Manufacturing"
3696394465,Sales,Retail
3696394465,Sales,Retail Office Equipment
3696394465,Sales,Facilities Services
3696394465,Business Development,Retail
3696394465,Business Development,Retail Office Equipment
3696394465,Business Development,Facilities Services
3696394465,Customer Service,Retail
3696394465,Customer Service,Retail Office Equipment
3696394465,Customer Service,Facilities Services
3696395003,Other,Hospitals and Health Care
3696395003,Other,Wellness and Fitness Services
3696395003,Other,Insurance
3696396337,Research,Staffing and Recruiting
3696396337,Analyst,Staffing and Recruiting
3696396337,Information Technology,Staffing and Recruiting
3696396357,Accounting/Auditing,Financial Services
3696396357,Finance,Financial Services
3696396361,Engineering,Defense and Space Manufacturing
3696396361,Engineering,"Appliances, Electrical, and Electronics Manufacturing"
3699944307,Management,Environmental Services
3699944307,Manufacturing,Environmental Services
3699953637,Health Care Provider,Hospitals and Health Care
3699959492,Health Care Provider,Medical Practices
3699972728,Health Care Provider,Wellness and Fitness Services
3700100103,Accounting/Auditing,Software Development
3700100103,Finance,Software Development
3700101731,Quality Assurance,Food and Beverage Services
3700106733,Management,Manufacturing
3700106733,Manufacturing,Manufacturing
3700107001,Marketing,Food and Beverage Services
3700107001,Public Relations,Food and Beverage Services
3700107001,Writing/Editing,Food and Beverage Services
3700111693,Accounting/Auditing,Accounting
3700111693,Finance,Accounting
3700124761,Design,Staffing and Recruiting
3700124761,Art/Creative,Staffing and Recruiting
3700124761,Information Technology,Staffing and Recruiting
3700138521,Sales,Machinery Manufacturing
3700138521,Business Development,Machinery Manufacturing
3700144594,Art/Creative,Retail Luxury Goods and Jewelry
3700144594,Project Management,Retail Luxury Goods and Jewelry
3700144710,Supply Chain,"Transportation, Logistics, Supply Chain and Storage"
3700144710,Supply Chain,"Technology, Information and Internet"
3700144710,Information Technology,"Transportation, Logistics, Supply Chain and Storage"
3700144710,Information Technology,"Technology, Information and Internet"
3700147810,Accounting/Auditing,Accounting
3700147810,Finance,Accounting
3700150295,Information Technology,Information Services
3700150295,Information Technology,IT Services and IT Consulting
3700152513,General Business,Law Practice
3700152648,Information Technology,Entertainment Providers
3700152648,Information Technology,Hospitality
3700152648,Information Technology,Travel Arrangements
3700152648,Management,Entertainment Providers
3700152648,Management,Hospitality
3700152648,Management,Travel Arrangements
3700154162,Business Development,Hospitals and Health Care
3700154162,Business Development,Market Research
3700154162,Business Development,Online Audio and Video Media
3700154162,Public Relations,Hospitals and Health Care
3700154162,Public Relations,Market Research
3700154162,Public Relations,Online Audio and Video Media
3700154162,Marketing,Hospitals and Health Care
3700154162,Marketing,Market Research
3700154162,Marketing,Online Audio and Video Media
3700155066,Information Technology,IT Services and IT Consulting
3700155066,Information Technology,Software Development
3700155066,Information Technology,Telecommunications
3700155066,Quality Assurance,IT Services and IT Consulting
3700155066,Quality Assurance,Software Development
3700155066,Quality Assurance,Telecommunications
3634090513,Engineering,Software Development
3634090513,Information Technology,Software Development
3680144775,General Business,Manufacturing
3680144775,Management,Manufacturing
3680144775,Business Development,Manufacturing
3690663520,Human Resources,Non-profit Organizations
3690664476,Other,Real Estate
3690664657,Accounting/Auditing,Executive Offices
3690664657,Accounting/Auditing,Manufacturing
3690664657,Finance,Executive Offices
3690664657,Finance,Manufacturing
3690665137,Accounting/Auditing,Real Estate
3690665137,Finance,Real Estate
3690668153,Management,Consumer Services
3690668153,Manufacturing,Consumer Services
3690671407,Health Care Provider,Medical Practices
3690673180,Design,
3690673180,Art/Creative,
3690673180,Information Technology,
3690673578,Engineering,"Appliances, Electrical, and Electronics Manufacturing"
3690673578,Information Technology,"Appliances, Electrical, and Electronics Manufacturing"
3690692186,Administrative,Retail
3690699930,Health Care Provider,Hospitals and Health Care
3690804650,Manufacturing,Pharmaceutical Manufacturing
3690804650,Engineering,Pharmaceutical Manufacturing
3690804650,Project Management,Pharmaceutical Manufacturing
3690809682,Accounting/Auditing,Hospitals and Health Care
3690809682,Finance,Hospitals and Health Care
3690821627,Finance,Leasing Non-residential Real Estate
3690821627,Finance,Investment Management
3690821627,Sales,Leasing Non-residential Real Estate
3690821627,Sales,Investment Management
3690825634,Marketing,Manufacturing
3690825634,Sales,Manufacturing
3690828940,Marketing,Pharmaceutical Manufacturing
3690828940,Product Management,Pharmaceutical Manufacturing
3690832043,Human Resources,Plastics Manufacturing
3690832043,Customer Service,Plastics Manufacturing
3690832043,General Business,Plastics Manufacturing
3690834347,Human Resources,Wholesale Building Materials
3690835135,Sales,Financial Services
3690835135,Sales,Business Consulting and Services
3690835135,Sales,"Technology, Information and Internet"
3690835135,Finance,Financial Services
3690835135,Finance,Business Consulting and Services
3690835135,Finance,"Technology, Information and Internet"
3690835135,Project Management,Financial Services
3690835135,Project Management,Business Consulting and Services
3690835135,Project Management,"Technology, Information and Internet"
3690837484,Sales,
3690837484,Business Development,
3690841406,Information Technology,IT Services and IT Consulting
3690841533,Finance,Food and Beverage Services
3690841533,Accounting/Auditing,Food and Beverage Services
3690841599,Management,"Appliances, Electrical, and Electronics Manufacturing"
3690841599,Manufacturing,"Appliances, Electrical, and Electronics Manufacturing"
3690843414,Health Care Provider,
3690844311,Accounting/Auditing,Insurance
3690844311,Finance,Insurance
3690844811,Engineering,Chemical Manufacturing
3690844811,Engineering,Mining
3690844811,Engineering,Industrial Machinery Manufacturing
3690844895,Legal,Business Consulting and Services
3690846882,Consulting,Motor Vehicle Manufacturing
3690846882,Information Technology,Motor Vehicle Manufacturing
3690846882,Sales,Motor Vehicle Manufacturing
3690847441,Business Development,IT Services and IT Consulting
3690847441,Sales,IT Services and IT Consulting
3690849145,Health Care Provider,
3690849528,Engineering,Design Services
3690849528,Engineering,Construction
3690849528,Engineering,Utilities
3690849528,Consulting,Design Services
3690849528,Consulting,Construction
3690849528,Consulting,Utilities
3690849528,Project Management,Design Services
3690849528,Project Management,Construction
3690849528,Project Management,Utilities
3690849991,Engineering,Manufacturing
3690849991,Information Technology,Manufacturing
3690850853,Marketing,Wholesale Building Materials
